price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,lat,longs
207000.0,3,1.0,920,5546,1.0,0,2,6,920,0,1928,47.7114,-122.284
179950.0,3,1.0,960,10125,1.0,0,4,7,960,0,1952,47.3335,-122.305
265000.0,3,1.75,2200,7200,1.0,0,3,8,1270,930,1962,47.3745,-122.276
255000.0,3,2.5,1530,1116,2.5,0,3,7,1530,0,2005,47.7385,-122.25
821000.0,3,2.75,2760,8476,1.0,0,4,8,1690,1070,1967,47.5402,-122.215
525000.0,3,1.75,1520,8835,1.0,0,4,7,1520,0,1957,47.6054,-122.118
665000.0,3,2.75,1800,9550,1.0,0,4,7,1320,480,1966,47.5679,-122.178
231500.0,2,1.0,1000,7615,1.0,0,4,6,1000,0,1943,47.49,-122.191
175000.0,3,1.75,1230,13056,1.0,0,4,7,1230,0,1962,47.3171,-122.279
427005.0,3,3.0,1460,1200,3.0,0,3,8,1460,0,2006,47.7,-122.367
262000.0,3,1.5,1700,9579,1.0,0,4,7,1100,600,1962,47.3209,-122.338
255000.0,4,2.75,1760,9222,1.0,0,3,7,1140,620,1971,47.3099,-122.362
189900.0,2,1.0,800,5600,1.0,0,5,6,800,0,1955,47.4959,-122.172
458500.0,3,2.0,1890,1599,2.0,0,3,9,1430,460,2012,47.5438,-122.385
290000.0,2,1.0,850,6800,1.0,0,3,7,850,0,1948,47.7282,-122.337
350000.0,3,2.5,1630,5996,2.0,0,3,7,1630,0,1986,47.4738,-122.19
582000.0,3,2.5,2380,19860,2.0,0,4,8,2380,0,1995,47.5255,-122.173
438924.0,3,1.5,1050,4590,1.0,0,3,7,850,200,1949,47.6943,-122.29
1170000.0,4,2.5,2570,6251,2.0,0,3,9,2570,0,2000,47.593,-122.197
419700.0,3,2.25,1450,1486,2.0,0,3,8,1160,290,2006,47.5694,-122.387
357562.0,2,1.75,1210,1032,2.0,0,3,8,1210,0,2014,47.5522,-121.999
346000.0,3,3.25,1500,1442,2.0,0,3,8,1150,350,2007,47.5592,-122.362
730000.0,4,2.5,3550,35689,2.0,0,4,9,3550,0,1991,47.7503,-122.074
650000.0,3,1.0,1710,5992,1.5,0,4,7,1560,150,1928,47.6861,-122.354
377000.0,3,2.5,1870,5333,2.0,0,3,8,1870,0,2012,47.7447,-121.984
321027.0,4,2.25,2820,16770,1.0,0,4,8,1920,900,1966,47.3186,-122.364
570000.0,3,2.0,1530,5401,1.0,0,4,7,1530,0,1937,47.686,-122.304
575000.0,3,2.5,2610,7301,2.0,0,3,8,2610,0,2004,47.7614,-122.139
840000.0,4,2.5,2170,9796,1.0,0,4,8,1650,520,1980,47.5505,-122.152
272500.0,3,2.5,2070,9900,1.0,0,3,8,1420,650,1979,47.2988,-122.371
519000.0,2,2.0,1560,4823,1.0,0,3,8,1560,0,2004,47.7111,-122.032
597500.0,3,2.0,2150,5400,1.5,0,4,7,1380,770,1911,47.555,-122.379
354950.0,3,1.0,970,5922,1.5,0,3,7,970,0,1949,47.719,-122.321
449950.0,4,2.5,3100,10000,2.0,0,3,9,3100,0,1978,47.3741,-122.15
542500.0,4,2.5,2330,14289,2.0,0,4,8,2330,0,1978,47.5916,-122.148
677100.0,3,2.0,2110,9199,1.0,0,3,10,2110,0,1993,47.6496,-122.083
597500.0,3,2.5,2620,4800,2.0,0,3,7,2620,0,2002,47.6849,-122.037
230000.0,3,1.5,1040,1264,2.0,0,3,9,900,140,2015,47.5951,-122.301
597000.0,4,2.5,2340,7877,2.0,0,3,9,2340,0,2004,47.73,-122.315
217500.0,3,1.75,1400,9546,1.0,0,4,7,1400,0,1984,47.3179,-122.331
530000.0,4,2.5,3010,9000,2.0,0,3,8,3010,0,2008,47.4987,-122.147
267100.0,2,2.5,1250,1580,2.0,0,3,7,1030,220,2005,47.5243,-122.36
264500.0,3,1.5,1580,14040,1.0,0,3,7,1050,530,1980,47.2932,-122.267
595000.0,4,2.5,1820,20011,2.0,0,3,8,1820,0,1987,47.5842,-122.045
510000.0,4,2.5,3180,5405,2.0,0,3,7,3180,0,2001,47.4905,-122.14
330000.0,3,2.5,2210,7557,2.0,0,3,9,2210,0,1989,47.3079,-122.393
252500.0,3,2.0,1150,6000,1.0,0,5,7,1150,0,1956,47.498,-122.263
396000.0,1,1.0,630,5150,1.0,0,4,5,630,0,1954,47.6923,-122.369
325000.0,3,2.25,2220,16020,1.0,0,4,8,1780,440,1966,47.3758,-122.217
710000.0,4,2.5,2870,8995,1.0,0,5,8,1870,1000,1968,47.5678,-122.128
225000.0,3,1.0,1490,15850,1.0,0,3,7,1490,0,1946,47.7411,-122.347
333000.0,3,2.5,1520,3041,2.0,0,3,7,1520,0,2009,47.4874,-122.152
530000.0,4,1.75,1814,5000,1.0,0,4,7,944,870,1951,47.684,-122.281
529000.0,2,2.0,1540,9714,2.0,0,3,8,1540,0,2008,47.7628,-122.359
385000.0,3,1.0,1030,3000,1.0,0,3,7,830,200,1924,47.6813,-122.317
265950.0,3,2.5,1490,3840,2.0,0,3,7,1490,0,2002,47.374,-122.133
850000.0,4,1.75,2350,11914,1.0,0,4,8,2350,0,1961,47.5392,-122.228
309950.0,3,2.5,1880,7838,2.0,0,3,7,1880,0,1994,47.4439,-122.19
480000.0,3,2.5,2410,4656,2.0,0,3,7,2410,0,2009,47.5203,-121.874
1027000.0,3,2.5,2430,10500,2.0,1,3,9,2430,0,1989,47.5818,-122.198
149500.0,3,1.0,1010,9450,1.0,0,4,7,1010,0,1959,47.3592,-122.315
290000.0,2,1.0,960,4000,1.0,0,3,6,960,0,1918,47.5554,-122.267
341500.0,3,1.5,1130,7223,1.0,0,4,7,1130,0,1961,47.5089,-122.189
355000.0,3,2.5,1810,3192,1.0,0,3,7,1070,740,2001,47.7364,-121.969
269950.0,4,2.5,2540,8400,2.0,0,5,7,2540,0,1977,47.3754,-122.277
620000.0,3,2.25,1660,3478,1.5,0,4,7,1100,560,1929,47.6773,-122.372
255000.0,3,1.0,1180,13650,1.0,0,4,7,1180,0,1967,47.4551,-122.154
518000.0,4,1.75,2560,15000,1.0,0,3,7,1880,680,1974,47.5952,-122.053
362000.0,3,1.0,1290,10125,1.0,0,4,7,1290,0,1956,47.7641,-122.265
150000.0,3,1.0,1450,6776,1.0,0,3,7,1450,0,1952,47.5056,-122.244
356000.0,3,1.5,1140,7500,1.0,0,3,7,1140,0,1976,47.619,-122.064
980000.0,4,2.25,2240,11034,2.0,0,3,8,2240,0,1976,47.5894,-122.195
339000.0,3,1.5,1740,21980,1.0,0,4,7,1740,0,1973,47.3644,-122.132
331292.0,3,1.75,1660,10000,1.0,0,3,7,1660,0,1972,47.741,-121.978
480000.0,5,2.0,1760,21562,1.0,1,3,8,1560,200,1959,47.7597,-122.263
550000.0,2,1.0,1420,3100,1.0,0,3,7,820,600,1924,47.6737,-122.365
987000.0,3,2.0,2160,15788,1.0,0,3,8,2160,0,1951,47.6227,-122.207
270000.0,4,1.75,1850,7730,1.0,0,5,7,1100,750,1956,47.7481,-122.355
740000.0,3,2.5,2200,3000,2.0,0,3,9,1530,670,2002,47.6451,-122.35
553000.0,3,1.0,1380,6250,1.0,0,4,7,1380,0,1918,47.5514,-122.385
334990.0,4,2.5,2220,4228,2.0,0,3,8,2220,0,2014,47.5014,-122.341
570000.0,4,2.0,1790,7800,1.0,0,5,8,1790,0,1972,47.6266,-122.103
605000.0,2,1.0,910,3600,1.0,0,4,7,910,0,1909,47.6341,-122.361
490000.0,4,3.0,2640,5267,2.0,0,3,7,2640,0,2001,47.5298,-121.88
271000.0,4,1.75,1490,9112,1.0,0,3,6,970,520,1940,47.4991,-122.345
379000.0,4,1.5,2020,7560,1.0,0,4,7,2020,0,1960,47.502,-122.146
515000.0,3,2.5,2010,7200,2.0,0,3,8,2010,0,1994,47.7372,-122.223
350000.0,2,2.5,1260,1347,3.0,0,3,8,1260,0,2005,47.6994,-122.341
384205.0,3,2.75,1810,3292,2.0,0,3,8,1810,0,2014,47.5164,-121.877
153500.0,3,1.0,890,4810,1.0,0,3,6,890,0,1910,47.5153,-122.266
590000.0,3,2.5,2520,10223,2.0,0,3,10,2520,0,1988,47.631,-122.042
535000.0,3,2.5,1720,4006,2.0,0,3,8,1720,0,1994,47.569,-122.007
524000.0,2,2.0,1450,2272,1.0,0,4,6,750,700,1924,47.633,-122.282
400000.0,4,1.75,1580,5340,1.0,0,3,7,1130,450,1947,47.6003,-122.306
510000.0,3,2.5,1420,1237,3.0,0,3,8,1420,0,2014,47.674,-122.387
283700.0,1,1.75,1010,10900,1.0,0,4,6,1010,0,1968,47.7391,-121.982
675000.0,3,1.75,1680,10500,1.0,0,4,8,1680,0,1959,47.6098,-122.169
875000.0,2,2.5,2720,4913,1.0,1,4,8,1700,1020,1936,47.6384,-122.404
420000.0,3,1.75,1230,10005,1.0,0,4,7,1230,0,1963,47.621,-122.114
305000.0,3,2.25,1630,10962,1.0,0,4,8,1100,530,1977,47.3801,-122.166
485000.0,3,1.0,1250,7200,1.0,0,3,7,1250,0,1964,47.6342,-122.12
425000.0,4,1.5,1620,7875,1.0,0,3,7,1620,0,1956,47.6041,-122.126
800000.0,4,2.25,2120,9921,2.0,0,3,8,2120,0,1981,47.5593,-122.082
204750.0,2,1.0,880,7575,1.0,0,4,7,880,0,1942,47.3757,-122.304
269900.0,3,1.5,1420,22100,1.0,0,5,7,1420,0,1957,47.4193,-122.149
281000.0,2,1.0,1280,12500,1.0,0,3,7,1060,220,1951,47.4833,-122.237
305000.0,2,2.25,1000,905,3.0,0,3,8,1000,0,2006,47.6842,-122.387
665000.0,5,2.75,2670,4000,2.0,0,4,7,1800,870,1914,47.6711,-122.315
321950.0,2,1.25,860,1277,2.0,0,3,7,860,0,2007,47.5842,-122.314
480000.0,4,2.25,3250,34293,2.0,0,4,9,3250,0,1983,47.3496,-122.094
438000.0,3,1.75,1650,12940,1.0,0,4,7,1650,0,1961,47.7629,-122.268
500000.0,2,1.0,960,5000,1.0,0,4,7,960,0,1900,47.6755,-122.367
660000.0,3,1.75,1980,3300,1.5,0,4,7,1140,840,1926,47.6733,-122.298
710000.0,4,2.5,3220,18618,2.0,1,3,10,3220,0,1991,47.5326,-122.181
312200.0,4,2.5,2910,8596,2.0,0,3,8,2910,0,2004,47.2596,-122.304
369000.0,3,1.5,2110,5195,1.0,0,3,7,1210,900,1959,47.5283,-122.286
392500.0,3,1.75,1540,8925,1.0,0,4,7,1540,0,1957,47.7762,-122.337
575000.0,4,2.25,2070,1230,3.0,0,3,9,1500,570,2013,47.5775,-122.41
258800.0,2,1.75,1290,1624,2.0,0,3,8,1290,0,2014,47.5171,-122.347
500000.0,3,1.5,1190,4750,1.0,0,3,7,970,220,1940,47.6726,-122.386
410500.0,3,1.0,1150,6800,1.0,0,3,7,1150,0,1954,47.727,-122.339
340000.0,2,2.5,1100,1760,3.0,0,3,7,1100,0,1997,47.6972,-122.35
315000.0,3,2.5,1880,7000,2.0,0,3,8,1880,0,1993,47.4206,-122.184
820000.0,4,2.5,3170,8523,2.0,0,3,9,3170,0,2008,47.6854,-122.184
360000.0,4,2.25,2620,8100,1.0,0,4,7,1550,1070,1964,47.4564,-122.351
750000.0,4,2.75,1750,5080,1.5,0,3,8,1750,0,1903,47.6143,-122.305
665000.0,2,1.0,1110,3200,1.0,0,3,7,1110,0,1925,47.6338,-122.358
325000.0,4,2.75,1960,8937,1.0,0,5,7,980,980,1954,47.451,-122.278
104950.0,2,1.0,1170,8254,1.0,0,2,6,1170,0,1949,47.497,-122.346
260000.0,4,2.0,1620,7992,2.0,0,4,7,1620,0,1975,47.395,-122.176
223000.0,3,1.0,1030,9120,1.0,0,3,7,1030,0,1961,47.3607,-122.291
537250.0,4,2.5,2590,9530,1.0,0,4,8,1640,950,1978,47.7752,-122.285
429000.0,2,1.0,1010,5000,1.0,0,2,7,1010,0,1924,47.6715,-122.365
685000.0,3,1.0,1570,2280,2.0,0,3,7,1570,0,1922,47.6413,-122.364
415000.0,4,2.0,1780,12161,1.0,0,5,7,1160,620,1950,47.7746,-122.323
663000.0,3,2.5,1910,5125,2.0,0,3,9,1910,0,2006,47.5481,-121.995
625000.0,3,2.5,3220,6409,2.0,0,3,9,3220,0,2008,47.4815,-122.127
362000.0,5,3.0,1810,3000,2.0,0,3,7,1810,0,1998,47.5622,-122.291
650000.0,3,2.5,2790,6720,2.0,0,3,8,2790,0,2002,47.5958,-122.038
257700.0,4,2.25,1600,6202,2.0,0,4,7,1600,0,1986,47.3784,-122.046
396000.0,3,1.0,1390,6160,1.0,0,4,7,1390,0,1949,47.7289,-122.338
885000.0,3,1.5,2200,2880,2.0,0,5,7,1440,760,1904,47.6308,-122.312
654000.0,3,3.25,1530,1565,2.0,0,3,8,1280,250,2005,47.6179,-122.312
462608.0,3,2.5,2010,2778,2.0,0,3,8,1390,620,2014,47.5528,-121.999
665000.0,4,2.5,2720,10000,2.0,0,3,10,2720,0,1987,47.6293,-122.051
375000.0,3,1.75,2100,9066,1.0,0,3,8,1440,660,1962,47.4294,-122.292
257500.0,3,1.75,1530,14087,1.0,0,3,7,1070,460,1979,47.3146,-122.043
729000.0,3,2.5,2440,4244,2.0,0,3,8,2440,0,2011,47.7057,-122.112
