iter	RMSE
0	179437.1207
1	167130.0876
2	156584.7437
3	147186.731
4	138158.9573
5	130261.9811
6	123771.5869
7	117496.3048
8	112230.901
9	107559.7875
10	103252.534
11	99809.54065
12	96593.00622
13	93654.21077
14	90951.22209
15	88832.4612
16	87027.61593
17	85312.06152
18	83566.21371
19	82359.36791
20	81241.40986
21	80060.73972
22	78927.91544
23	78137.37402
24	77072.54431
25	76249.0488
26	75519.71526
27	75017.93408
28	74459.18375
29	74068.62948
30	73379.57307
31	72629.86002
32	72094.66065
33	71795.8666
34	71393.85694
35	70982.11434
36	70679.45857
37	70442.11999
38	70085.19286
39	69837.76775
40	69478.17384
41	69122.45086
42	68947.60814
43	68571.07214
44	68342.42062
45	68126.15405
46	67894.75474
47	67464.8597
48	67327.13055
49	67086.19171
50	66886.96366
51	66736.45839
52	66509.76451
53	66341.95359
54	66181.29915
55	66024.57782
56	65830.73201
57	65638.22827
58	65366.6865
59	65230.82036
60	65077.67996
61	64819.04836
62	64576.51713
63	64401.00211
64	64236.48699
65	64074.5582
66	63847.58279
67	63688.23587
68	63502.39468
69	63305.96058
70	63148.73749
71	63063.95384
72	62911.21997
73	62797.21423
74	62590.67456
75	62509.97344
76	62397.08604
77	62320.13476
78	62215.01467
79	62125.71944
80	62054.28134
81	61884.02225
82	61773.64619
83	61701.05834
84	61544.33972
85	61402.76891
86	61309.69782
87	61231.10175
88	61170.75444
89	61065.37813
90	61002.26077
91	60867.40202
92	60736.54543
93	60611.35398
94	60452.9971
95	60372.71891
96	60266.77263
97	60168.50151
98	59943.29798
99	59860.0245
