iter	Passed	Remaining
0	25	2482
1	52	2560
2	78	2532
3	105	2520
4	130	2475
5	156	2447
6	181	2417
7	208	2398
8	228	2314
9	254	2293
10	281	2276
11	308	2263
12	335	2245
13	360	2216
14	385	2185
15	411	2159
16	438	2139
17	463	2110
18	489	2087
19	515	2061
20	540	2032
21	566	2007
22	592	1982
23	618	1959
24	644	1933
25	670	1907
26	695	1880
27	721	1854
28	747	1831
29	773	1805
30	798	1777
31	823	1750
32	848	1723
33	875	1699
34	901	1674
35	928	1649
36	955	1626
37	981	1601
38	1007	1575
39	1034	1551
40	1061	1527
41	1086	1500
42	1112	1474
43	1138	1448
44	1164	1423
45	1191	1398
46	1216	1372
47	1242	1345
48	1267	1319
49	1294	1294
50	1321	1269
51	1348	1244
52	1375	1220
53	1403	1195
54	1429	1169
55	1457	1144
56	1485	1120
57	1511	1094
58	1537	1068
59	1564	1042
60	1590	1016
61	1615	990
62	1641	963
63	1666	937
64	1693	912
65	1719	885
66	1744	859
67	1770	833
68	1796	806
69	1822	781
70	1848	755
71	1874	728
72	1899	702
73	1925	676
74	1951	650
75	1978	624
76	2003	598
77	2029	572
78	2055	546
79	2075	518
80	2101	492
81	2127	467
82	2153	440
83	2178	415
84	2204	388
85	2228	362
86	2255	336
87	2281	311
88	2307	285
89	2334	259
90	2359	233
91	2385	207
92	2412	181
93	2437	155
94	2464	129
95	2490	103
96	2517	77
97	2544	51
98	2572	25
99	2601	0
