iter	RMSE
0	166989.6097
1	160292.8207
2	154174.0604
3	148504.6481
4	143150.2923
5	138211.9883
6	133560.7965
7	129599.938
8	125480.1129
9	121961.0446
10	118628.8558
11	115320.1901
12	112420.6391
13	109480.4232
14	106834.8099
15	104419.4219
16	102330.6373
17	100346.8703
18	98570.53537
19	96702.87562
20	94989.52361
21	93381.66374
22	91977.14456
23	90697.05854
24	89517.8819
25	88372.89623
26	87182.99959
27	86211.56659
28	85355.38698
29	84602.76131
30	83536.08041
31	82673.9131
32	81961.28752
33	81334.34135
34	80672.22818
35	80057.26951
36	79464.9275
37	78984.01018
38	78568.48723
39	77905.60551
40	77548.22393
41	77132.88493
42	76795.22943
43	76421.92794
44	75852.23493
45	75566.66383
46	75074.99062
47	74838.20892
48	74600.08666
49	74110.74668
50	73837.81846
51	73392.29629
52	73171.16404
53	72596.84106
54	72361.85688
55	72160.78716
56	71930.31409
57	71778.77752
58	71619.80301
59	71444.48121
60	71265.50976
61	71142.49462
62	71024.55066
63	70913.75405
64	70680.59225
65	70562.55764
66	70264.10451
67	69971.73613
68	69844.31971
69	69698.92771
70	69578.62472
71	69500.97722
72	69439.91664
73	69270.39279
74	69204.62883
75	69096.82917
76	68986.69389
77	68779.19312
78	68693.32146
79	68509.3246
80	68452.67079
81	68291.49629
82	68105.87866
83	67966.08292
84	67783.22857
85	67713.1901
86	67547.65293
87	67440.83493
88	67370.42823
89	67258.47285
90	67185.63388
91	66990.72989
92	66751.38438
93	66711.14656
94	66674.56118
95	66623.05526
96	66528.89167
97	66428.90284
98	66376.85449
99	66308.34775
100	66236.86355
101	66070.42245
102	65966.92228
103	65884.6213
104	65702.87981
105	65664.19351
106	65530.37045
107	65386.58125
108	65293.30432
109	65261.00508
110	65194.34977
111	65153.73282
112	65062.73176
113	65029.20964
114	64967.80996
115	64915.77858
116	64884.26364
117	64843.48285
118	64793.9114
119	64572.0828
120	64483.78876
121	64448.4661
122	64415.50247
123	64374.88509
124	64266.01201
125	64190.70022
126	63972.40101
127	63939.92151
128	63893.54239
129	63809.18783
130	63774.86013
131	63713.66055
132	63617.89588
133	63445.51167
134	63398.6304
135	63348.64391
136	63293.78871
137	63217.88869
138	63174.97026
139	63016.47544
140	62951.22219
141	62917.316
142	62880.11402
143	62859.57567
144	62766.30198
145	62741.56721
146	62653.71516
147	62621.15389
148	62577.32086
149	62442.88267
150	62410.32996
151	62337.4032
152	62276.81139
153	62232.29357
154	62201.27431
155	62160.07772
156	62091.26893
157	62034.71266
158	61967.51048
159	61902.41851
160	61826.55206
161	61778.73233
162	61741.93325
163	61687.18627
164	61636.15135
165	61582.12648
166	61544.46811
167	61488.38666
168	61400.12806
169	61369.60481
170	61334.62104
171	61289.77812
172	61240.73167
173	61161.52557
174	61125.07388
175	61067.1818
176	61035.65712
177	60986.0008
178	60889.77167
179	60845.07038
180	60778.43187
181	60739.833
182	60697.51157
183	60668.62557
184	60615.74234
185	60564.2107
186	60520.61038
187	60428.80622
188	60389.67996
189	60346.51482
190	60308.28239
191	60278.80689
192	60241.84141
193	60212.53001
194	60163.23491
195	60108.33419
196	60055.26733
197	59994.68636
198	59953.07334
199	59919.67857
200	59819.16064
201	59778.83386
202	59688.70316
203	59631.05735
204	59593.32013
205	59545.73514
206	59518.31531
207	59474.25031
208	59440.00559
209	59385.77418
210	59347.54782
211	59324.02838
212	59280.59286
213	59253.49484
214	59220.71287
215	59172.36555
216	59093.89864
217	59045.17728
218	59015.0033
219	58979.03676
220	58951.25745
221	58915.53732
222	58874.22351
223	58840.41456
224	58803.00155
225	58774.84847
226	58723.70938
227	58702.1762
228	58651.80814
229	58627.78274
230	58595.50911
231	58546.13168
232	58499.66553
233	58460.2482
234	58417.32374
235	58380.36122
236	58345.93973
237	58321.4239
238	58300.45418
239	58245.88337
240	58213.31054
241	58186.70053
242	58170.85523
243	58140.56325
244	58120.3562
245	58087.24058
246	58047.03945
247	58003.3267
248	57966.20736
249	57927.89896
250	57914.25842
251	57889.07943
252	57859.88083
253	57830.77589
254	57803.51526
255	57766.18832
256	57726.57771
257	57698.07746
258	57674.8606
259	57657.32002
260	57632.65831
261	57599.94625
262	57585.18812
263	57558.9721
264	57529.64312
265	57511.25732
266	57475.9338
267	57441.0616
268	57409.33439
269	57391.15087
270	57351.15885
271	57325.6065
272	57302.30135
273	57275.2545
274	57259.96195
275	57236.0945
276	57210.22664
277	57185.36466
278	57155.28238
279	57142.80414
280	57126.2162
281	57094.0171
282	57062.27615
283	57042.82979
284	57007.00348
285	56988.86779
286	56960.29768
287	56935.68634
288	56874.77815
289	56831.68188
290	56800.72374
291	56764.23419
292	56738.31624
293	56699.24217
294	56666.62162
295	56634.69888
296	56620.76351
297	56601.95527
298	56582.03746
299	56569.1679
300	56543.50319
301	56518.49141
302	56497.61085
303	56476.14891
304	56443.98652
305	56424.80748
306	56401.82934
307	56378.09013
308	56350.39371
309	56333.12362
310	56313.17861
311	56296.25745
312	56276.95567
313	56249.15021
314	56221.58138
315	56206.96585
316	56185.41695
317	56171.20911
318	56146.72897
319	56123.21241
320	56106.88822
321	56075.20018
322	56057.90483
323	56040.68315
324	56026.10419
325	56011.05323
326	55977.1556
327	55963.85521
328	55940.0013
329	55924.7497
330	55906.27349
331	55889.39007
332	55865.37461
333	55849.06115
334	55839.19997
335	55811.7621
336	55778.42489
337	55748.4894
338	55732.14364
339	55715.52223
340	55692.40531
341	55668.10173
342	55644.91062
343	55624.9798
344	55600.12416
345	55578.82927
346	55550.62597
347	55512.31507
348	55476.76427
349	55456.6914
350	55439.26475
351	55425.81209
352	55411.69602
353	55392.15653
354	55375.94544
355	55329.51702
356	55314.36492
357	55289.84299
358	55281.76575
359	55254.81177
360	55241.10903
361	55214.41266
362	55189.5525
363	55160.09887
364	55146.93928
365	55132.24784
366	55113.09118
367	55090.51622
368	55074.28922
369	55044.29008
370	55031.81313
371	55014.32822
372	54996.50687
373	54971.56465
374	54953.33743
375	54937.80431
376	54915.23037
377	54896.49003
378	54869.1905
379	54828.85156
380	54783.09606
381	54768.42146
382	54751.11575
383	54737.99374
384	54717.03587
385	54697.43102
386	54678.1702
387	54649.00364
388	54629.35323
389	54607.08688
390	54578.19107
391	54550.76455
392	54535.06811
393	54515.97541
394	54495.44139
395	54471.9289
396	54442.65612
397	54418.05687
398	54402.80651
399	54363.15183
400	54347.86135
401	54319.00378
402	54307.40276
403	54290.52631
404	54271.59109
405	54250.39656
406	54225.50926
407	54200.04271
408	54159.46195
409	54151.15411
410	54135.16827
411	54124.02473
412	54116.57601
413	54097.12049
414	54081.01742
415	54071.57174
416	54054.86638
417	54031.96734
418	54010.10113
419	53996.24973
420	53975.79362
421	53940.04101
422	53929.84605
423	53917.54486
424	53901.06121
425	53887.51467
426	53868.53248
427	53847.22117
428	53831.62708
429	53813.6005
430	53797.4981
431	53783.94429
432	53771.1357
433	53767.3398
434	53745.90023
435	53726.56642
436	53704.98073
437	53665.51866
438	53640.62473
439	53629.47194
440	53609.33161
441	53595.70521
442	53573.73154
443	53550.31468
444	53510.81744
445	53500.70311
446	53477.20318
447	53464.357
448	53443.32266
449	53427.11377
450	53407.12325
451	53395.00653
452	53376.59732
453	53359.8792
454	53337.52316
455	53322.68071
456	53302.54028
457	53284.3015
458	53267.59474
459	53261.10729
460	53249.10703
461	53239.54247
462	53224.70661
463	53212.02712
464	53198.97785
465	53176.14642
466	53165.28579
467	53149.36578
468	53137.19181
469	53114.1819
470	53097.57088
471	53078.24904
472	53062.94896
473	53045.25693
474	53018.50056
475	53003.91841
476	52988.43233
477	52961.39203
478	52945.46619
479	52914.7029
480	52898.44799
481	52886.87445
482	52878.1331
483	52860.66981
484	52841.69842
485	52823.99139
486	52800.25376
487	52782.92233
488	52771.3412
489	52752.2073
490	52745.37593
491	52731.85895
492	52710.75585
493	52681.71616
494	52647.33265
495	52631.34407
496	52614.43966
497	52587.62597
498	52571.96968
499	52566.29041
500	52556.10692
501	52520.77041
502	52508.05927
503	52487.85219
504	52480.07514
505	52470.06145
506	52445.84791
507	52437.58614
508	52418.90198
509	52395.38676
510	52381.06558
511	52370.8218
512	52349.69521
513	52328.95272
514	52315.95721
515	52304.19694
516	52286.45949
517	52276.85185
518	52257.92552
519	52245.78802
520	52233.95557
521	52222.98951
522	52203.66366
523	52179.72708
524	52155.14632
525	52139.36891
526	52119.73814
527	52104.43905
528	52089.98327
529	52064.56446
530	52051.09527
531	52037.82261
532	52017.57449
533	52005.08877
534	51984.78539
535	51964.88828
536	51945.56474
537	51924.54914
538	51908.35961
539	51899.82178
540	51885.93582
541	51882.71464
542	51868.75567
543	51842.65265
544	51829.27389
545	51807.60466
546	51788.32652
547	51783.46831
548	51756.8009
549	51730.94306
550	51719.02872
551	51707.89732
552	51690.35179
553	51676.47969
554	51667.74468
555	51636.54053
556	51626.50507
557	51606.44627
558	51596.31795
559	51582.32521
560	51564.54808
561	51546.90006
562	51533.72728
563	51516.21266
564	51504.49982
565	51489.78643
566	51476.06124
567	51460.56008
568	51447.55746
569	51432.59647
570	51420.51259
571	51404.24731
572	51391.79983
573	51381.73704
574	51365.89817
575	51352.23248
576	51342.78827
577	51325.87336
578	51304.94887
579	51295.33913
580	51276.4037
581	51257.79842
582	51245.05001
583	51233.80087
584	51215.88545
585	51199.49167
586	51189.75866
587	51161.08258
588	51142.64728
589	51113.07522
590	51103.47748
591	51087.05778
592	51067.98676
593	51051.68261
594	51035.31133
595	51019.85531
596	51005.34742
597	50985.65552
598	50963.78514
599	50953.73981
600	50941.14912
601	50914.81909
602	50901.7819
603	50886.05518
604	50874.94459
605	50868.06025
606	50854.48878
607	50837.31206
608	50827.90597
609	50826.10335
610	50812.15698
611	50799.18189
612	50786.7445
613	50777.14543
614	50759.62861
615	50747.57674
616	50728.85305
617	50721.5001
618	50711.27459
619	50694.31447
620	50676.61566
621	50650.42821
622	50637.794
623	50616.55211
624	50600.90651
625	50581.13555
626	50573.65516
627	50563.53013
628	50554.14402
629	50537.4496
630	50517.89406
631	50493.90894
632	50479.03911
633	50470.31777
634	50453.61828
635	50440.35802
636	50431.9404
637	50421.60406
638	50413.7428
639	50406.27403
640	50390.15324
641	50376.30936
642	50360.31473
643	50348.87686
644	50331.50037
645	50314.63266
646	50297.7732
647	50285.65056
648	50270.35322
649	50258.6047
650	50239.44124
651	50229.50457
652	50214.74376
653	50203.44887
654	50188.84307
655	50177.73121
656	50164.573
657	50152.92835
658	50144.14444
659	50132.2212
660	50121.96062
661	50116.66759
662	50103.82336
663	50084.95521
664	50079.41726
665	50057.34293
666	50037.43551
667	50022.66463
668	50014.02167
669	49996.50423
670	49980.78665
671	49958.75049
672	49944.84257
673	49932.29351
674	49921.16113
675	49906.51192
676	49892.7446
677	49882.08829
678	49873.55297
679	49862.6013
680	49845.07729
681	49831.6921
682	49818.62251
683	49804.46732
684	49789.61047
685	49784.8288
686	49754.81207
687	49743.10242
688	49723.63629
689	49704.99305
690	49694.29388
691	49676.10062
692	49662.10513
693	49651.09073
694	49638.03086
695	49614.18568
696	49601.88577
697	49593.27047
698	49583.59192
699	49559.90537
700	49549.51258
701	49537.05911
702	49520.37381
703	49504.34048
704	49493.3783
705	49484.16046
706	49471.50732
707	49456.4941
708	49444.16663
709	49433.46388
710	49417.95424
711	49395.538
712	49386.30651
713	49365.87189
714	49355.75163
715	49350.96061
716	49326.86047
717	49316.52323
718	49299.87255
719	49288.96486
720	49280.05888
721	49271.84588
722	49257.38262
723	49235.62763
724	49221.60663
725	49205.58982
726	49190.35359
727	49173.73998
728	49149.32605
729	49139.27077
730	49126.13078
731	49114.31205
732	49102.73083
733	49087.83673
734	49069.57181
735	49058.01358
736	49032.25164
737	49019.94361
738	49001.82542
739	48991.16301
740	48979.55943
741	48967.82355
742	48957.30889
743	48940.03632
744	48928.33261
745	48913.32183
746	48902.41265
747	48892.1292
748	48880.75234
749	48868.14615
750	48856.84325
751	48837.99101
752	48818.44058
753	48810.00083
754	48798.04216
755	48787.04252
756	48778.08374
757	48775.20462
758	48765.11819
759	48754.61049
760	48738.75002
761	48727.73538
762	48709.86357
763	48705.05648
764	48700.04029
765	48693.71102
766	48687.37192
767	48670.96009
768	48662.47935
769	48651.57541
770	48639.44333
771	48629.61147
772	48623.20129
773	48613.80624
774	48605.34862
775	48592.05839
776	48580.9351
777	48574.93726
778	48556.71828
779	48536.52781
780	48522.96971
781	48502.79172
782	48494.12481
783	48479.01082
784	48468.01319
785	48458.70423
786	48446.81806
787	48434.7211
788	48424.4465
789	48415.11682
790	48409.10164
791	48393.99419
792	48385.40419
793	48365.49173
794	48346.85899
795	48333.3081
796	48323.62063
797	48310.75621
798	48302.20243
799	48294.20924
800	48277.21182
801	48269.68566
802	48256.13199
803	48249.07906
804	48238.63818
805	48230.22573
806	48216.00974
807	48203.94342
808	48194.21605
809	48183.09856
810	48169.27923
811	48160.10357
812	48148.23523
813	48137.12115
814	48126.92202
815	48117.0706
816	48101.69626
817	48092.41765
818	48073.61039
819	48064.71193
820	48052.06242
821	48040.01561
822	48033.37794
823	48022.62804
824	48009.69779
825	47996.34331
826	47984.43821
827	47969.63776
828	47959.53201
829	47942.75644
830	47923.342
831	47912.22847
832	47899.22448
833	47882.86953
834	47870.10686
835	47859.84274
836	47843.33226
837	47830.56404
838	47820.9578
839	47810.86331
840	47801.35184
841	47792.80257
842	47778.14681
843	47771.71187
844	47761.79971
845	47751.31426
846	47743.49937
847	47732.88558
848	47717.27559
849	47710.55548
850	47700.55945
851	47688.68778
852	47672.85761
853	47659.17595
854	47652.19022
855	47644.92195
856	47630.68533
857	47627.47854
858	47612.89496
859	47606.35445
860	47596.0415
861	47583.6352
862	47576.17824
863	47569.75748
864	47559.79423
865	47548.17225
866	47541.12958
867	47519.85496
868	47511.69687
869	47498.12638
870	47486.72851
871	47475.16506
872	47468.01871
873	47457.79227
874	47447.84566
875	47436.53246
876	47425.37766
877	47410.40834
878	47398.30069
879	47390.93741
880	47376.2259
881	47366.28781
882	47357.35185
883	47350.83696
884	47339.59989
885	47327.58483
886	47322.15252
887	47312.18168
888	47301.33005
889	47285.2689
890	47274.5444
891	47259.55203
892	47248.53792
893	47240.3585
894	47228.938
895	47217.99748
896	47201.12386
897	47187.91028
898	47180.84481
899	47174.57022
900	47164.19597
901	47156.03088
902	47147.90478
903	47139.20916
904	47127.29853
905	47119.64254
906	47109.58715
907	47098.87591
908	47085.96478
909	47074.16386
910	47067.35641
911	47056.16508
912	47049.70265
913	47039.90637
914	47028.47651
915	47012.15851
916	47006.58337
917	46990.1347
918	46979.38551
919	46974.62044
920	46965.52193
921	46956.23523
922	46948.50822
923	46935.00053
924	46923.19349
925	46917.35729
926	46907.59555
927	46889.61525
928	46881.47433
929	46878.44639
930	46863.94409
931	46848.48978
932	46836.89765
933	46827.40092
934	46815.28461
935	46800.82809
936	46780.9456
937	46770.9057
938	46760.49814
