iter	Passed	Remaining
0	2	2690
1	5	2619
2	7	2566
3	9	2488
4	12	2413
5	14	2362
6	16	2308
7	18	2246
8	19	2201
9	22	2184
10	24	2159
11	26	2143
12	27	2120
13	30	2114
14	32	2106
15	34	2093
16	35	2079
17	38	2078
18	39	2061
19	42	2060
20	44	2052
21	45	2040
22	47	2032
23	49	2023
24	51	2023
25	53	2013
26	55	2010
27	57	2010
28	59	2008
29	61	2000
30	63	1995
31	65	1987
32	67	1983
33	69	1978
34	71	1977
35	73	1971
36	75	1969
37	77	1963
38	79	1958
39	81	1953
40	83	1952
41	85	1948
42	87	1948
43	89	1946
44	91	1947
45	93	1939
46	95	1934
47	97	1930
48	99	1929
49	101	1924
50	103	1923
51	105	1920
52	107	1915
53	109	1911
54	111	1907
55	112	1904
56	115	1903
57	116	1899
58	118	1897
59	120	1894
60	123	1893
61	125	1891
62	127	1890
63	129	1892
64	131	1890
65	133	1888
66	135	1886
67	137	1883
68	139	1880
69	141	1876
70	143	1875
71	145	1872
72	147	1873
73	149	1873
74	151	1870
75	153	1867
76	155	1868
77	157	1866
78	159	1863
79	161	1860
80	163	1857
81	165	1855
82	167	1852
83	169	1850
84	171	1847
85	173	1844
86	175	1842
87	177	1841
88	179	1840
89	181	1838
90	183	1837
91	185	1834
92	188	1833
93	189	1831
94	192	1831
95	194	1829
96	196	1829
97	198	1827
98	200	1824
99	202	1822
100	204	1819
101	206	1818
102	208	1817
103	210	1814
104	212	1812
105	214	1809
106	216	1807
107	218	1805
108	220	1803
109	222	1799
110	224	1797
111	226	1794
112	228	1791
113	230	1789
114	232	1787
115	234	1784
116	236	1781
117	238	1780
118	240	1778
119	242	1776
120	244	1774
121	246	1771
122	248	1769
123	250	1767
124	252	1766
125	254	1764
126	256	1763
127	258	1761
128	260	1760
129	262	1758
130	264	1756
131	266	1753
132	268	1751
133	270	1748
134	272	1746
135	274	1744
136	276	1742
137	278	1740
138	280	1739
139	282	1737
140	284	1735
141	286	1732
142	288	1730
143	290	1728
144	292	1725
145	294	1723
146	296	1721
147	298	1720
148	300	1719
149	303	1717
150	304	1714
151	306	1711
152	308	1709
153	310	1707
154	312	1704
155	314	1702
156	316	1701
157	318	1699
158	320	1696
159	322	1695
160	324	1693
161	326	1691
162	329	1689
163	331	1687
164	333	1686
165	335	1684
166	337	1682
167	339	1679
168	341	1679
169	343	1677
170	345	1675
171	347	1673
172	349	1672
173	351	1670
174	353	1667
175	355	1665
176	357	1663
177	359	1661
178	361	1659
179	363	1657
180	365	1655
181	367	1653
182	369	1651
183	372	1649
184	374	1647
185	376	1645
186	378	1643
187	379	1641
188	381	1638
189	383	1636
190	386	1635
191	388	1633
192	390	1631
193	392	1629
194	394	1628
195	396	1627
196	398	1624
197	400	1622
198	402	1620
199	404	1618
200	406	1616
201	408	1614
202	410	1612
203	412	1610
204	414	1608
205	416	1606
206	418	1604
207	420	1602
208	422	1599
209	424	1598
210	426	1595
211	428	1593
212	430	1591
213	432	1589
214	434	1587
215	436	1585
216	438	1583
217	440	1581
218	442	1578
219	444	1576
220	446	1574
221	448	1572
222	450	1570
223	452	1568
224	454	1566
225	456	1564
226	458	1562
227	461	1560
228	463	1559
229	465	1557
230	467	1555
231	469	1553
232	471	1550
233	473	1548
234	475	1546
235	477	1545
236	479	1543
237	481	1541
238	483	1539
239	485	1537
240	487	1534
241	489	1532
242	491	1531
243	493	1528
244	495	1526
245	497	1524
246	499	1522
247	501	1520
248	503	1517
249	505	1515
250	507	1513
251	509	1510
252	510	1508
253	512	1506
254	514	1504
255	516	1502
256	518	1500
257	520	1497
258	522	1496
259	524	1493
260	526	1491
261	528	1489
262	530	1487
263	532	1485
264	534	1483
265	537	1482
266	539	1480
267	541	1478
268	543	1476
269	545	1474
270	547	1472
271	549	1469
272	551	1467
273	553	1465
274	554	1463
275	556	1460
276	558	1458
277	560	1456
278	562	1454
279	564	1452
280	566	1450
281	568	1448
282	571	1446
283	573	1444
284	575	1442
285	577	1440
286	579	1438
287	581	1437
288	583	1435
289	585	1433
290	587	1431
291	589	1429
292	591	1427
293	593	1425
294	595	1422
295	597	1420
296	599	1418
297	601	1416
298	603	1414
299	605	1412
300	607	1410
301	609	1408
302	611	1406
303	613	1404
304	615	1402
305	617	1399
306	619	1397
307	620	1395
308	623	1393
309	625	1391
310	627	1389
311	629	1387
312	631	1385
313	632	1382
314	634	1380
315	636	1378
316	638	1376
317	640	1374
318	643	1373
319	645	1371
320	647	1369
321	649	1367
322	651	1365
323	653	1363
324	655	1361
325	657	1359
326	659	1357
327	661	1355
328	663	1353
329	665	1351
330	667	1349
331	669	1347
332	671	1345
333	673	1343
334	675	1341
335	677	1339
336	679	1337
337	681	1335
338	683	1333
339	685	1331
340	688	1329
341	689	1327
342	692	1325
343	693	1323
344	695	1321
345	697	1319
346	699	1317
347	701	1315
348	704	1313
349	706	1311
350	708	1309
351	710	1307
352	712	1305
353	714	1303
354	716	1301
355	718	1299
356	720	1297
357	722	1294
358	723	1292
359	726	1290
360	728	1288
361	730	1286
362	732	1285
363	734	1283
364	736	1281
365	738	1279
366	740	1277
